cwe_id,cve_id,lang,project,ref_link,vulnerability_classification
CWE-189,CVE-2009-1194,C,pango,https://github.com/bratsche/pango/commit/4de30e5500eaeb49f4bf0b7a07f718e149a2ed5e,DoS Exec Code Overflow 
CWE-94,CVE-2010-2809,C,uzbl,https://github.com/Dieterbe/uzbl/commit/9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,Exec Code 
,CVE-2010-2060,C,beanstalkd,https://github.com/kr/beanstalkd/commit/2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d,Exec Code 
CWE-20,CVE-2010-1155,C,irssi-proxy,https://github.com/ensc/irssi-proxy/commit/85bbc05b21678e80423815d2ef1dfe26208491ab,
CWE-20,CVE-2010-1152,C,memcached,https://github.com/memcached/memcached/commit/d9cd01ede97f4145af9781d448c62a3318952719,DoS 
CWE-264,CVE-2010-0011,C,uzbl,https://github.com/Dieterbe/uzbl/commit/1958b52d41cba96956dc1995660de49525ed1047,Exec Code 
CWE-399,CVE-2011-2161,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/8312e3fc9041027a33c8bc667bb99740fdf41dd5,DoS 
CWE-399,CVE-2011-1575,C,pure-ftpd,https://github.com/jedisct1/pure-ftpd/commit/65c4d4ad331e94661de763e9b5304d28698999c4,
CWE-119,CVE-2011-0530,C,nbd,https://github.com/yoe/nbd/commit/3ef52043861ab16352d49af89e048ba6339d6df8,Exec Code Overflow 
,CVE-2012-5532,C,linux,https://github.com/torvalds/linux/commit/95a69adab9acfc3981c504737a2b6578e4d846ef,DoS 
,CVE-2012-5517,C,linux,https://github.com/torvalds/linux/commit/08dff7b7d629807dbb1f398c68dd9cd58dd657a1,DoS 
CWE-189,CVE-2012-4565,C,linux,https://github.com/torvalds/linux/commit/8f363b77ee4fbf7c3bbcf5ec2c5ca482d396d664,DoS 
CWE-362,CVE-2012-4508,C,linux,https://github.com/torvalds/linux/commit/dee1f973ca341c266229faa5a1a5bb268bed3531,+Info 
CWE-399,CVE-2012-4467,C,linux,https://github.com/torvalds/linux/commit/ed6fe9d614fc1bca95eb8c0ccd0e92db00ef9d5d,DoS +Info 
,CVE-2012-4444,C,linux,https://github.com/torvalds/linux/commit/70789d7052239992824628db8133de08dc78e593,Bypass 
CWE-362,CVE-2012-3552,C,linux,https://github.com/torvalds/linux/commit/f6d8bd051c391c1c0458a30b2a7abcd939329259,DoS 
CWE-20,CVE-2012-3525,C,jabberd2,https://github.com/Jabberd2/jabberd2/commit/aabcffae560d5fd00cd1d2ffce5d760353cf0a4d,
CWE-287,CVE-2012-3520,C,linux,https://github.com/torvalds/linux/commit/e0e3cea46d31d23dc40df0a49a7a2c04fe8edfea,
CWE-362,CVE-2012-3511,C,linux,https://github.com/torvalds/linux/commit/9ab4233dd08036fe34a89c7dc6f47a8bf2eb29eb,DoS 
CWE-399,CVE-2012-3510,C,linux,https://github.com/torvalds/linux/commit/f0ec1aaf54caddd21c259aea8b2ecfbde4ee4fb9,DoS +Info 
CWE-200,CVE-2012-3430,C,linux,https://github.com/torvalds/linux/commit/06b6a1cf6e776426766298d055bb3991957d90a7,+Info 
CWE-189,CVE-2012-3412,C,linux,https://github.com/torvalds/linux/commit/68cb695ccecf949d48949e72f8ce591fdaaa325c,DoS 
CWE-119,CVE-2012-3400,C,linux,https://github.com/torvalds/linux/commit/adee11b2085bee90bd8f4f52123ffb07882d6256,DoS Overflow 
,CVE-2012-3375,C,linux,https://github.com/torvalds/linux/commit/13d518074a952d33d47c428419693f63389547e9,DoS 
CWE-119,CVE-2012-2745,C,linux,https://github.com/torvalds/linux/commit/79549c6dfda0603dba9a70a53467ce62d9335c33,DoS Overflow 
,CVE-2012-2744,C,linux,https://github.com/torvalds/linux/commit/9e2dcf72023d1447f09c47d77c99b0c49659e5ce,DoS 
CWE-189,CVE-2012-2675,C,nedmalloc,https://github.com/ned14/nedmalloc/commit/1a759756639ab7543b650a10c2d77a0ffc7a2000,Overflow 
CWE-189,CVE-2012-2673,C,bdwgc,https://github.com/ivmai/bdwgc/commit/e10c1eb9908c2774c16b3148b30d2f3823d66a9a,Overflow 
CWE-20,CVE-2012-2669,C,linux,https://github.com/torvalds/linux/commit/bcc2c9c3fff859e0eb019fe6fec26f9b8eba795c,
CWE-399,CVE-2012-2390,C,linux,https://github.com/torvalds/linux/commit/c50ac050811d6485616a193eb0f37bfbd191cc89,DoS 
CWE-399,CVE-2012-2385,C++,mosh,https://github.com/keithw/mosh/commit/9791768705528e911bfca6c4d8aa88139035060e,DoS 
CWE-189,CVE-2012-2384,C,linux,https://github.com/torvalds/linux/commit/44afb3a04391a74309d16180d1e4f8386fdfa745,DoS Overflow 
CWE-189,CVE-2012-2383,C,linux,https://github.com/torvalds/linux/commit/ed8cd3b2cd61004cab85380c52b1817aca1ca49b,DoS Overflow 
CWE-189,CVE-2012-2375,C,linux,https://github.com/torvalds/linux/commit/20e0fa98b751facf9a1101edaefbc19c82616a68,DoS 
CWE-362,CVE-2012-2373,C,linux,https://github.com/torvalds/linux/commit/26c191788f18129af0eb32a358cdaea0c7479626,DoS 
CWE-264,CVE-2012-2319,C,linux,https://github.com/torvalds/linux/commit/6f24f892871acc47b40dd594c63606a17c714f77,Overflow +Priv 
CWE-264,CVE-2012-2313,C,linux,https://github.com/torvalds/linux/commit/1bb57e940e1958e40d51f2078f50c3a96a9b2d75,
CWE-20,CVE-2012-2136,C,linux,https://github.com/torvalds/linux/commit/cc9b17ad29ecaa20bfe426a8d4dbfb94b13ff1cc,DoS Overflow +Priv 
CWE-399,CVE-2012-2133,C,linux,https://github.com/torvalds/linux/commit/90481622d75715bfcb68501280a917dbfe516029,DoS +Priv 
CWE-119,CVE-2012-2127,C,linux,https://github.com/torvalds/linux/commit/905ad269c55fc62bee3da29f7b1d1efeba8aa1e1,DoS Overflow 
CWE-264,CVE-2012-2123,C,linux,https://github.com/torvalds/linux/commit/d52fc5dde171f030170a6cb78034d166b13c9445,Bypass 
CWE-264,CVE-2012-2121,C,linux,https://github.com/torvalds/linux/commit/09ca8e1173bcb12e2a449698c9ae3b86a8a10195,DoS 
CWE-189,CVE-2012-2100,C,linux,https://github.com/torvalds/linux/commit/d50f2ab6f050311dbf7b8f5501b25f0bf64a439b,DoS 
,CVE-2012-1910,C++,bitcoin,https://github.com/bitcoin/bitcoin/commit/8864019f6d88b13d3442843d9e6ebeb8dd938831,DoS Exec Code 
CWE-119,CVE-2012-1836,C++,inspircd,https://github.com/inspircd/inspircd/commit/fe7dbd2c104c37f6f3af7d9f1646a3c332aea4a4,Exec Code Overflow 
CWE-399,CVE-2012-1601,C,linux,https://github.com/torvalds/linux/commit/9c895160d25a76c21b65bad141b08e8d4f99afef,DoS 
CWE-189,CVE-2012-1584,C++,taglib,https://github.com/taglib/taglib/commit/dcdf4fd954e3213c355746fa15b7480461972308,DoS Overflow 
CWE-399,CVE-2012-1583,C,linux,https://github.com/torvalds/linux/commit/d0772b70faaf8e9f2013b6c4273d94d5eac8047a,DoS 
CWE-119,CVE-2012-1571,C,file,https://github.com/glensc/file/commit/1aec04dbf8a24b8a6ba64c4f74efa0628e36db0b,DoS Overflow 
CWE-264,CVE-2012-1179,C,linux,https://github.com/torvalds/linux/commit/4a1d704194a441bf83c636004a479e01360ec850,DoS 
CWE-119,CVE-2012-1176,C,pyfribidi,https://github.com/pediapress/pyfribidi/commit/d2860c655357975e7b32d84e6b45e98f0dcecd7a,DoS Overflow 
,CVE-2012-1146,C,linux,https://github.com/torvalds/linux/commit/371528caec553785c37f73fa3926ea0de84f986f,DoS 
CWE-20,CVE-2012-1108,C++,taglib,https://github.com/taglib/taglib/commit/b3646a07348ffa276ea41a9dae03ddc63ea6c532,DoS 
,CVE-2012-1107,C++,taglib,https://github.com/taglib/taglib/commit/77d61c6eca4d08b9b025738acf6b926cc750db23,DoS 
,CVE-2012-1097,C,linux,https://github.com/torvalds/linux/commit/c8e252586f8d5de906385d8cf6385fee289a825e,DoS 
CWE-264,CVE-2012-1090,C,linux,https://github.com/torvalds/linux/commit/88d7d4e4a439f32acc56a6d860e415ee71d3df08,DoS 
,CVE-2012-1013,C,krb5,https://github.com/krb5/krb5/commit/c5be6209311d4a8f10fda37d0d3f876c1b33b77b,DoS 
CWE-16,CVE-2012-0957,C,linux,https://github.com/torvalds/linux/commit/2702b1526c7278c4d65d78de209a465d4de2885e,+Info 
CWE-20,CVE-2012-0879,C,linux,https://github.com/torvalds/linux/commit/61cc74fbb87af6aa551a06a370590c9bc07e29d9,DoS 
CWE-310,CVE-2012-0863,C++,mumble,https://github.com/mumble-voip/mumble/commit/5632c35d6759f5e13a7dfe78e4ee6403ff6a8e3e,
CWE-119,CVE-2012-0807,C,suhosin,https://github.com/stefanesser/suhosin/commit/73b1968ee30f6d9d2dae497544b910e68e114bfa,Exec Code Overflow 
CWE-399,CVE-2012-0207,C,linux,https://github.com/torvalds/linux/commit/a8c1f65c79cbbb2f7da782d4c9d15639a9b94b27,DoS 
CWE-399,CVE-2012-0058,C,linux,https://github.com/torvalds/linux/commit/802f43594d6e4d2ac61086d239153c17873a0428,DoS 
,CVE-2012-0045,C,linux,https://github.com/torvalds/linux/commit/c2226fc9e87ba3da060e47333657cd6616652b84,DoS 
CWE-189,CVE-2012-0044,C,linux,https://github.com/torvalds/linux/commit/a5cd335165e31db9dbab636fd29895d41da55dd2,DoS Overflow +Priv Mem. Corr. 
CWE-189,CVE-2012-0038,C,linux,https://github.com/torvalds/linux/commit/fa8b18edd752a8b4e9d1ee2cd615b82c93cf8bba,DoS Overflow 
CWE-200,CVE-2012-0037,C,raptor,https://github.com/dajobe/raptor/commit/a676f235309a59d4aa78eeffd2574ae5d341fcb0,+Info 
CWE-89,CVE-2012-0036,C,curl,https://github.com/bagder/curl/commit/75ca568fa1c19de4c5358fed246686de8467c238,Sql 
CWE-264,CVE-2012-0028,C,linux,https://github.com/torvalds/linux/commit/8141c7f3e7aee618312fa1c15109e1219de784a7,DoS +Priv 
CWE-20,CVE-2011-4914,C,linux,https://github.com/torvalds/linux/commit/e0bccd315db0c2f919e7fcf9cb60db21d9986f52,DoS +Info 
CWE-20,CVE-2011-4913,C,linux,https://github.com/torvalds/linux/commit/be20250c13f88375345ad99950190685eda51eb8,DoS Overflow Mem. Corr. 
,CVE-2011-4621,C,linux,https://github.com/torvalds/linux/commit/f26f9aff6aaf67e9a430d16c266f91b13a5bff64,DoS Exec Code 
CWE-189,CVE-2011-4611,C,linux,https://github.com/torvalds/linux/commit/0837e3242c73566fc1c0196b4ec61779c25ffc93,DoS Overflow 
,CVE-2011-4594,C,linux,https://github.com/torvalds/linux/commit/bc909d9ddbf7778371e36a651d6e4194b1cc7d4c,DoS 
CWE-399,CVE-2011-4326,C,linux,https://github.com/torvalds/linux/commit/a9cf73ea7ff78f52662c8658d93c226effbbedde,DoS 
,CVE-2011-4324,C,linux,https://github.com/torvalds/linux/commit/dc0b027dfadfcb8a5504f7d8052754bf8d501ab9,DoS 
CWE-189,CVE-2011-4131,C,linux,https://github.com/torvalds/linux/commit/bf118a342f10dafe44b14451a1392c3254629a1f,DoS 
