Commit,ID,CWE,CVSS2,Local,Date,Link
00361c4ee70d130eed1232c4ef54cf45684ab444,CVE-2016-8749,CWE-502,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/apache/camel,7/23/2014 11:37,https://github.com/apache/camel/commit/00361c4ee70d130eed1232c4ef54cf45684ab444
008ca948dadacea8d1a2662c577fdcb25f32d5e2,CVE-2018-11771,CWE-835,AV:N/AC:M/Au:N/C:N/I:N/A:P,repos/apache/commons-compress,3/26/2009 22:29,https://github.com/apache/commons-compress/commit/008ca948dadacea8d1a2662c577fdcb25f32d5e2
009a79dae84a18d002004f1c5b5d2d5f7ff73da9,CVE-2020-7647,CWE-22,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/jooby-project/jooby,12/11/2016 14:55,https://github.com/jooby-project/jooby/commit/009a79dae84a18d002004f1c5b5d2d5f7ff73da9
00be4f9774e1adf8e7ccc2664da8005fc30bb11d,CVE-2017-15695,CWE-863,AV:N/AC:L/Au:S/C:P/I:P/A:P,repos/apache/geode,1/18/2018 23:18,https://github.com/apache/geode/commit/00be4f9774e1adf8e7ccc2664da8005fc30bb11d
00d2606b000f9bdafbd7f4a16b6599fb51b53fa4,CVE-2018-11040,CWE-829,AV:N/AC:M/Au:N/C:P/I:N/A:N,repos/spring-projects/spring-framework,7/5/2016 17:00,https://github.com/spring-projects/spring-framework/commit/00d2606b000f9bdafbd7f4a16b6599fb51b53fa4
0155ae761c12164bc27f3c6d20223ed4c29fde7f,CVE-2017-7657,CWE-190,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/eclipse/jetty.project,8/31/2016 16:46,https://github.com/eclipse/jetty.project/commit/0155ae761c12164bc27f3c6d20223ed4c29fde7f
01584fabc74635d63a1b2670f18d8fcd1ee046cc,CVE-2013-6348,CWE-79,AV:N/AC:M/Au:N/C:N/I:P/A:N,repos/apache/struts,10/18/2013 8:10,https://github.com/apache/struts/commit/01584fabc74635d63a1b2670f18d8fcd1ee046cc
015f7ef503d5544f79512b6333326749a1f0c48b,CVE-2017-12612,CWE-502,AV:L/AC:L/Au:N/C:C/I:C/A:C,repos/apache/spark,10/9/2015 15:28,https://github.com/apache/spark/commit/015f7ef503d5544f79512b6333326749a1f0c48b
01c1f39c02690722fd569efe14c4e0b97fc89aea,CVE-2017-5656,CWE-384,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/apache/cxf,10/4/2011 12:00,https://github.com/apache/cxf/commit/01c1f39c02690722fd569efe14c4e0b97fc89aea
01d6fb1a133cea6fac18f2ef1ecab1cbee86b569,CVE-2018-1000850,CWE-22,AV:N/AC:L/Au:N/C:N/I:P/A:P,repos/square/retrofit,2/3/2016 22:15,https://github.com/square/retrofit/commit/01d6fb1a133cea6fac18f2ef1ecab1cbee86b569
021642ef3f437f36bf6791f3776e2480decdbd09,CVE-2013-4330,CWE-94,AV:N/AC:M/Au:N/C:P/I:P/A:P,repos/apache/camel,3/12/2009 17:40,https://github.com/apache/camel/commit/021642ef3f437f36bf6791f3776e2480decdbd09
02aeb0339f584153798906c5f3a1c2809ead511e,CVE-2018-1999020,CWE-22,AV:N/AC:M/Au:N/C:N/I:P/A:P,repos/opennetworkinglab/onos,1/30/2015 0:28,https://github.com/opennetworkinglab/onos/commit/02aeb0339f584153798906c5f3a1c2809ead511e
0314fe7743cb72e469cb395ccaaf2793a2ea0355,CVE-2012-0022,CWE-189,AV:N/AC:L/Au:N/C:N/I:N/A:P,repos/apache/tomcat55,12/20/2011 14:34,https://github.com/apache/tomcat55/commit/0314fe7743cb72e469cb395ccaaf2793a2ea0355
03582973d74b30eba4b00be50189258b2d843bad,CVE-2014-0054,CWE-352,AV:N/AC:M/Au:N/C:P/I:P/A:P,repos/spring-projects/spring-framework,1/6/2009 11:18,https://github.com/spring-projects/spring-framework/commit/03582973d74b30eba4b00be50189258b2d843bad
04021968d0c576d57e3625d788cf0c8183c0b6d7,CVE-2018-1000134,CWE-521,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/pingidentity/ldapsdk,9/1/2015 3:03,https://github.com/pingidentity/ldapsdk/commit/04021968d0c576d57e3625d788cf0c8183c0b6d7
042f325f1cd6e7891d72c7e668f5947b5457dc02,CVE-2017-9735,CWE-200,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/eclipse/jetty.project,5/16/2017 10:41,https://github.com/eclipse/jetty.project/commit/042f325f1cd6e7891d72c7e668f5947b5457dc02
044620d17aa8981bd90dc91e7fc23b4aa598192f,CVE-2011-3190,CWE-264,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/apache/tomcat,5/14/2011 22:14,https://github.com/apache/tomcat/commit/044620d17aa8981bd90dc91e7fc23b4aa598192f
04d796aeb4028874b62b4b37e4e1c80cdf0071a8,CVE-2018-17297,CWE-22,AV:N/AC:L/Au:N/C:N/I:P/A:P,repos/looly/hutool,8/14/2017 23:51,https://github.com/looly/hutool/commit/04d796aeb4028874b62b4b37e4e1c80cdf0071a8
04eaa47ec10ead550e166c6cdb8bc49f1a8910b3,CVE-2015-5211,CWE-20,AV:N/AC:M/Au:N/C:C/I:C/A:C,repos/spring-projects/spring-framework,10/24/2008 9:42,https://github.com/spring-projects/spring-framework/commit/04eaa47ec10ead550e166c6cdb8bc49f1a8910b3
053aaab58e53e159c4a7ed4a69a582d72b34a3ad,CVE-2016-4986,CWE-22,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/jenkinsci/tap-plugin,1/4/2013 23:16,https://github.com/jenkinsci/tap-plugin/commit/053aaab58e53e159c4a7ed4a69a582d72b34a3ad
05904b3e8541f5e3192822c2f732072274c0a9c1,CVE-2013-6372,CWE-255,AV:L/AC:L/Au:N/C:P/I:N/A:N,repos/jenkinsci/subversion-plugin,11/1/2010 18:47,https://github.com/jenkinsci/subversion-plugin/commit/05904b3e8541f5e3192822c2f732072274c0a9c1
05bdc2cf770996d4aba1704aa3c5775d8783fc45,CVE-2015-5211,CWE-20,AV:N/AC:M/Au:N/C:C/I:C/A:C,repos/spring-projects/spring-framework,11/11/2014 2:38,https://github.com/spring-projects/spring-framework/commit/05bdc2cf770996d4aba1704aa3c5775d8783fc45
05c84ff8304a69a30b251f207a7b93c2c882564d,CVE-2014-0119,CWE-264,AV:N/AC:M/Au:N/C:P/I:N/A:N,repos/apache/tomcat,12/9/2013 10:01,https://github.com/apache/tomcat/commit/05c84ff8304a69a30b251f207a7b93c2c882564d
05d7e0e13f43e12db6a51726df12c8b4d8040676,CVE-2020-11111,CWE-502,AV:N/AC:M/Au:N/C:P/I:P/A:P,repos/FasterXML/jackson-databind,3/25/2020 13:18,https://github.com/FasterXML/jackson-databind/commit/05d7e0e13f43e12db6a51726df12c8b4d8040676
061e07d5f425837e87eedc3af5f89eb5d2b3e77a,CVE-2017-15695,CWE-863,AV:N/AC:L/Au:S/C:P/I:P/A:P,repos/apache/geode,10/2/2017 10:38,https://github.com/apache/geode/commit/061e07d5f425837e87eedc3af5f89eb5d2b3e77a
063c282ad258c020f1776a6c4b3d1b3f95d74aef,CVE-2019-1003009,CWE-295,AV:N/AC:M/Au:N/C:P/I:P/A:N,repos/jenkinsci/active-directory-plugin,11/30/2016 14:22,https://github.com/jenkinsci/active-directory-plugin/commit/063c282ad258c020f1776a6c4b3d1b3f95d74aef
063f7cbfb2a5a3437d6f416c1abb809288e6c4c2,CVE-2017-15719,CWE-79,AV:N/AC:M/Au:N/C:N/I:P/A:N,repos/sebfz1/wicket-jquery-ui,4/22/2014 22:41,https://github.com/sebfz1/wicket-jquery-ui/commit/063f7cbfb2a5a3437d6f416c1abb809288e6c4c2
0699c3648f0d372f057bbe177fe7c440d84be853,CVE-2010-2227,CWE-119,AV:N/AC:L/Au:N/C:P/I:N/A:P,repos/apache/tomcat,6/21/2010 11:27,https://github.com/apache/tomcat/commit/0699c3648f0d372f057bbe177fe7c440d84be853
06db8761c01533928af8347965c0b3ce8f782fdf,CVE-2017-5664,CWE-755,AV:N/AC:L/Au:N/C:N/I:P/A:N,repos/apache/tomcat,3/27/2014 18:13,https://github.com/apache/tomcat/commit/06db8761c01533928af8347965c0b3ce8f782fdf
077610154360c6403066e6ea4a009824e021bc97,CVE-2018-1999036,CWE-532,AV:N/AC:L/Au:S/C:P/I:N/A:N,repos/jenkinsci/ssh-agent-plugin,2/9/2017 14:58,https://github.com/jenkinsci/ssh-agent-plugin/commit/077610154360c6403066e6ea4a009824e021bc97
07d54f167694d14cd28db703ee2eac99aa74d2ed,CVE-2015-4852,CWE-77,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/apache/commons-collections,11/20/2013 21:13,https://github.com/apache/commons-collections/commit/07d54f167694d14cd28db703ee2eac99aa74d2ed
07f42785fa7032159b7022ed5c3eed500f848fbe,CVE-2014-8122,CWE-362,AV:N/AC:M/Au:N/C:P/I:N/A:N,repos/weld/core,7/19/2011 9:57,https://github.com/weld/core/commit/07f42785fa7032159b7022ed5c3eed500f848fbe
0813faf0d505c48da4dc46074ef634b1bdacc838,CVE-2017-8046,CWE-20,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/spring-projects/spring-data-rest,5/12/2017 14:42,https://github.com/spring-projects/spring-data-rest/commit/0813faf0d505c48da4dc46074ef634b1bdacc838
086a726057f64a3e84b6c2dd525da297a69d390a,CVE-2018-1000111,CWE-863,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/jenkinsci/subversion-plugin,6/16/2009 0:59,https://github.com/jenkinsci/subversion-plugin/commit/086a726057f64a3e84b6c2dd525da297a69d390a
089f66504ed766cb09ea10c706eb86dfa35dad6d,CVE-2015-8103,CWE-77,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/jenkinsci/jenkins,3/12/2010 19:52,https://github.com/jenkinsci/jenkins/commit/089f66504ed766cb09ea10c706eb86dfa35dad6d
08a4be8c0459db20cce62f70b8f8f19bec2b4d2b,CVE-2016-1000340,CWE-19,AV:N/AC:L/Au:N/C:N/I:P/A:N,repos/bcgit/bc-java,2/3/2014 11:42,https://github.com/bcgit/bc-java/commit/08a4be8c0459db20cce62f70b8f8f19bec2b4d2b
08abc8fe1453c91b5997e4fb5a7155799aefa54a,CVE-2019-11808,CWE-338,AV:N/AC:M/Au:N/C:P/I:N/A:N,repos/ratpack/ratpack,5/31/2015 21:18,https://github.com/ratpack/ratpack/commit/08abc8fe1453c91b5997e4fb5a7155799aefa54a
08b8705ab3f4976f2ffcd74f71bc9964e9210f49,CVE-2020-2206,CWE-79,AV:N/AC:M/Au:N/C:N/I:P/A:N,repos/jenkinsci/vncrecorder-plugin,5/28/2020 10:42,https://github.com/jenkinsci/vncrecorder-plugin/commit/08b8705ab3f4976f2ffcd74f71bc9964e9210f49
0936806dca8d5cb37e9c84e44de8e00b7b274384,CVE-2016-8749,CWE-502,AV:N/AC:L/Au:N/C:P/I:P/A:P,repos/apache/camel,10/5/2015 12:23,https://github.com/apache/camel/commit/0936806dca8d5cb37e9c84e44de8e00b7b274384
094fd3573943eeac3f2db01f89c89312e2ed7f78,CVE-2011-1475,CWE-20,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/apache/tomcat,9/30/2010 0:28,https://github.com/apache/tomcat/commit/094fd3573943eeac3f2db01f89c89312e2ed7f78
0990fc3cf4798611be12dba85703685b6c1ce74d,CVE-2011-1475,CWE-20,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/apache/tomcat,3/19/2010 14:22,https://github.com/apache/tomcat/commit/0990fc3cf4798611be12dba85703685b6c1ce74d
09b79c4034d13dcc76f9e70b13823efeec1bd630,CVE-2018-14627,CWE-319,AV:N/AC:M/Au:N/C:P/I:N/A:N,repos/wildfly/wildfly,1/12/2017 22:35,https://github.com/wildfly/wildfly/commit/09b79c4034d13dcc76f9e70b13823efeec1bd630
09c9137b7567a0f11acd5a57f421435161caeb8a,CVE-2014-0225,CWE-611,AV:N/AC:M/Au:N/C:P/I:P/A:P,repos/spring-projects/spring-framework,1/21/2014 17:12,https://github.com/spring-projects/spring-framework/commit/09c9137b7567a0f11acd5a57f421435161caeb8a
09cd4ad27298ebf20441e3285636f8e4c7e772c7,CVE-2017-15695,CWE-863,AV:N/AC:L/Au:S/C:P/I:P/A:P,repos/apache/geode,9/21/2016 15:01,https://github.com/apache/geode/commit/09cd4ad27298ebf20441e3285636f8e4c7e772c7
0a1ffa962bdb919c2bef73754f40f20106c6c555,CVE-2015-3271,CWE-200,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/apache/tika,5/9/2015 18:26,https://github.com/apache/tika/commit/0a1ffa962bdb919c2bef73754f40f20106c6c555
0a5a5430b7874bb5f8a0f81ee3bc0c163c713a09,CVE-2019-17513,CWE-74,AV:N/AC:L/Au:N/C:N/I:P/A:N,repos/ratpack/ratpack,3/27/2017 11:37,https://github.com/ratpack/ratpack/commit/0a5a5430b7874bb5f8a0f81ee3bc0c163c713a09
0aa2858b2e6745dcad88c3850231de7114e966a1,CVE-2018-1999046,CWE-200,AV:N/AC:L/Au:S/C:P/I:N/A:N,repos/jenkinsci/jenkins,3/29/2016 12:47,https://github.com/jenkinsci/jenkins/commit/0aa2858b2e6745dcad88c3850231de7114e966a1
0add17dc8113719930e7c25e91ab6043691f720f,CVE-2014-0228,CWE-284,AV:N/AC:M/Au:S/C:P/I:N/A:N,repos/apache/hive,5/23/2014 15:45,https://github.com/apache/hive/commit/0add17dc8113719930e7c25e91ab6043691f720f
0b76b13d8894a3f36d7e9b4f3cf96126421ba822,CVE-2016-9878,CWE-22,AV:N/AC:L/Au:N/C:P/I:N/A:N,repos/spring-projects/spring-framework,12/1/2016 18:53,https://github.com/spring-projects/spring-framework/commit/0b76b13d8894a3f36d7e9b4f3cf96126421ba822
0bdbebe1b3d73341bf67051986aec66944aee928,CVE-2018-1000054,CWE-611,AV:N/AC:L/Au:S/C:P/I:P/A:P,repos/jenkinsci/ccm-plugin,4/4/2012 1:05,https://github.com/jenkinsci/ccm-plugin/commit/0bdbebe1b3d73341bf67051986aec66944aee928
