project,hash,date,contributed_cves,contributing
Slowpoke/Conversations,df9dcb1060d44a719e2892446b62cde884a880cf,2014-01-24 23:58:51+01:00,0,0
Slowpoke/Conversations,76cfab03ec712173ba37a98306c448f5930f0474,2014-01-28 23:15:30+01:00,0,0
Slowpoke/Conversations,53d9c9997a508985f0e19aba928bfa25c80ba23e,2014-02-01 15:07:20+01:00,0,0
Slowpoke/Conversations,4fd8620c6cc1ca88c4496671e6e59c40aba93019,2014-02-04 21:44:16+01:00,0,0
Slowpoke/Conversations,cda1c2c3a12b4c18f13771dd4b58aab6e465176b,2014-02-07 02:57:36+01:00,0,0
Slowpoke/Conversations,c31101dd6458225a007466a3d58a2f4b591c684f,2014-02-09 00:47:11+01:00,0,0
Slowpoke/Conversations,4a963d6f5047705cb635924cf35b523f6cd6ba6b,2014-02-09 01:00:23+01:00,0,0
Slowpoke/Conversations,962263e6e65b327cca64a443649f3490b0df3a31,2014-02-10 23:12:11+01:00,0,0
Slowpoke/Conversations,42c4c1789a75c87b67c38ef9ca3f57ddd10f0548,2014-02-13 23:40:08+01:00,0,0
Slowpoke/Conversations,746f9591553a5373e8ce1211ed066cbbf6a31cb5,2014-02-19 01:35:23+01:00,0,0
Slowpoke/Conversations,94ab61d5c0b060e2aea5caf58ac06864f980956b,2014-02-19 08:21:33+01:00,0,0
Slowpoke/Conversations,37d1a5380634471b11c828cf265d4a39e818a1c1,2014-02-28 00:22:56+01:00,0,0
Slowpoke/Conversations,79ec8b2e8128a1dc1d7d0962ce99e91fdaff8b98,2014-03-04 04:36:19+01:00,0,0
Slowpoke/Conversations,999b9691cb83b0acff1c4656478483686f05d088,2014-03-05 21:04:11+01:00,0,0
Slowpoke/Conversations,e4f61da07924e9440cde5b92c4364b1310c64ce5,2014-03-06 00:00:16+01:00,0,0
Slowpoke/Conversations,2f0b2b865e4ec1b34d37120f085a9841ea11d1ed,2014-03-06 03:30:03+01:00,0,0
Slowpoke/Conversations,c666b086d6be3d993b0b9c52a6aab916cd6942ab,2014-03-06 20:00:46+01:00,0,0
Slowpoke/Conversations,3bb5fcb3ca3586f2c641e0810ba0e019604ad7e4,2014-03-07 14:24:33+01:00,0,0
Slowpoke/Conversations,93d11b3c99be49fdd2faa0e90db45b3360720e6a,2014-03-07 20:22:26+01:00,0,0
Slowpoke/Conversations,100059b530ad80f20a98c29af57c88d29c4eeabf,2014-03-07 20:36:04+01:00,0,0
Slowpoke/Conversations,cd89b4bfac3a43593384aff2d23ff8084c096c75,2014-03-08 02:16:50+01:00,0,0
Slowpoke/Conversations,fbd25c8129636219142b3b9bef6b794c269ea4bb,2014-03-08 04:18:58+01:00,0,0
Slowpoke/Conversations,05386b5052b29d47e7be2a5acc52fc524862e5a8,2014-03-09 13:20:40+01:00,0,0
Slowpoke/Conversations,baf0d6478750bb59e3f883fb7f814a92f27b8a29,2014-03-09 13:21:28+01:00,0,0
Slowpoke/Conversations,11a8a747e37cc643d19855271ede5a9ad752f71d,2014-03-11 16:49:42+01:00,0,0
Slowpoke/Conversations,eec39066928c65bc7d2a36913ec21f83c5a763b6,2014-03-13 04:32:19+01:00,0,0
Slowpoke/Conversations,53fa87b414b87de73a79f0e60aa1a4d7d21c3dc9,2014-03-13 13:28:16+01:00,0,0
Slowpoke/Conversations,9c811f8fb20b056ea12803e93e5ea20dc052bdcd,2014-03-13 21:37:27+01:00,0,0
Slowpoke/Conversations,03f9f6e54dc25ab2fa9b7d9e36be51e05ce726be,2014-03-13 22:14:05+01:00,0,0
Slowpoke/Conversations,8f9712c64e712108ac3e25b28de4646b7454f52d,2014-03-15 00:19:42+01:00,0,0
Slowpoke/Conversations,8cd59bb944ed9373eb04420a32f3b7cfce0a8956,2014-03-15 15:13:35+01:00,0,0
Slowpoke/Conversations,6be2a08f19f07e9db5da3e644c8d62102fdd27e7,2014-03-19 16:16:40+01:00,0,0
Slowpoke/Conversations,b6ea028a9d2ceed5da7aa15e68c56cfd91291e94,2014-03-20 15:49:53+01:00,0,0
Slowpoke/Conversations,bbfe102e91a4c708134228ce195497f8fe6446ff,2014-03-21 19:58:47+01:00,0,0
Slowpoke/Conversations,ee1c9e611b011495f1587f5d07c464650b5749d5,2014-03-21 23:09:14+01:00,0,0
Slowpoke/Conversations,39c651a236de186e38f27a6316faa1b9b9b12704,2014-03-25 18:38:20+01:00,0,0
Slowpoke/Conversations,f99887d7cad3cdc0bd0df7be59e65cf63675bb4e,2014-03-27 11:03:10+01:00,0,0
Slowpoke/Conversations,592068e7cf06efa4803530e6ae55ea102dd7330c,2014-03-27 14:41:01+01:00,0,0
Slowpoke/Conversations,9fa95f50ae2dca51308245038a1d50b3ab8a09bd,2014-03-27 16:18:34+01:00,0,0
Slowpoke/Conversations,a649310fe267b791461e62c3abf0a01836dde23c,2014-03-28 14:48:11+01:00,0,0
Slowpoke/Conversations,38efb84690f5ed46ad34b0a5cb27e63da73394bd,2014-03-28 19:00:01+01:00,0,0
Slowpoke/Conversations,6bb7764d723f6fcaba7ec5e85d8404e28ca52fda,2014-03-31 09:45:39+02:00,0,0
Slowpoke/Conversations,d5cca3b3a48cfaed3008050fcab9574d97d771cc,2014-04-02 22:45:57+02:00,0,0
Slowpoke/Conversations,7d086eaf1a6a0b1d45e857eaf65ac53cd7a753e5,2014-04-03 10:05:32+02:00,0,0
Slowpoke/Conversations,921674b3f1585dde76d13f181abcfc6d49bd737d,2014-04-03 10:51:05+02:00,0,0
Slowpoke/Conversations,e5940630ea75a9f89e603c6b49f8eaac28693b5b,2014-04-03 11:12:20+02:00,0,0
Slowpoke/Conversations,9d2d853e1b3b1f167be16ffe53530cbe83790ad1,2014-04-03 14:25:54+02:00,0,0
Slowpoke/Conversations,2506ef82df6369fef71e00e891b2a2c69330ff94,2014-04-03 17:39:57+02:00,0,0
Slowpoke/Conversations,a0fc1c6c77aea1d99078706cf2bee1c5efd246a4,2014-04-03 22:28:37+02:00,0,0
Slowpoke/Conversations,c82c6251b8c48692bb929436aa7ff0449b9e86f3,2014-04-05 11:39:45+02:00,0,0
Slowpoke/Conversations,9fc7a1b980863955a139193ded0fef5edfbad296,2014-04-05 21:06:10+02:00,0,0
Slowpoke/Conversations,3f872ddc9f56255ac090260ec720b04a523cf695,2014-04-06 15:22:56+02:00,0,0
Slowpoke/Conversations,78bd6c423fa1a2b89322deb69a23b15ef3a72bcb,2014-04-07 23:58:59+02:00,0,0
Slowpoke/Conversations,51100ab48b94c55f8cce981c422e50a607f261ad,2014-04-11 09:13:56+02:00,0,0
Slowpoke/Conversations,c0e0a7086902a9d5cfbe88c4aa220abdf2ee3dde,2014-04-11 21:13:09+02:00,0,0
Slowpoke/Conversations,c2307337368e37fc3c7fec7d4b2e5cdf3be47212,2014-04-12 01:36:44+02:00,0,0
Slowpoke/Conversations,7dfe4ae0823238da216088f80de40b9ff6b1446d,2014-04-13 18:09:40+02:00,0,0
Slowpoke/Conversations,901ce085a7df579b9c8c402b8af59a7ce7233044,2014-04-13 20:41:06+02:00,0,0
Slowpoke/Conversations,132689376cd3709bf25f949292bef81f496c4f37,2014-04-13 20:44:17+02:00,0,0
